Trait	TraitID	.Hieracium candidum.	.Hieracium murorum.	.Campanula cochleariifolia.	.Campanula persicifolia.	.Lonicera pyrenaica.	.Lonicera xylosteum.	.Silene vulgaris.	.Dioscorea pyrenaica.	.Dioscorea communis.	.Ramonda myconi.	.Streptocarpus ionanthus.	.Hypericum nummularium.	.Hypericum perforatum.	.Sarcocapnos enneaphylla.	.Fumaria officinalis.	.Antirrhinum sempervirens.	.Antirrhinum majus.	.Androsace vitaliana.	.Asperula hirta.	.Asperula cynanchica.	.Saxifraga longifolia.	.Saxifraga hirsuta.	
Seed viability	1109	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Inflorescence: seed number per inflorescence (total, fertile, infertile)	1104	0	0	0	0	0	0	10	0	1	0	0	0	8	0	1	0	0	0	0	0	0	0	
Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	3113	0	0	0	0	0	5	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	
Leaf nitrogen (N) content per leaf	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Litter decomposition rate	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	
Litter nitrogen (N) content per litter dry mass	70	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	
Plant functional type (PFT)	197	0	0	0	0	0	6	0	0	1	0	0	0	7	0	5	0	0	0	0	0	0	0	
Seed germination temperature	353	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	
Seed number per flower	1103	0	0	0	0	0	1	3	0	4	0	0	0	3	0	2	0	0	0	0	0	0	0	
Crown (canopy) length: diameter along the longest axis	324	0	1	0	0	0	0	20	0	2	0	0	0	16	0	0	0	0	0	0	0	0	0	
Flower depth from constricting part to the bottom (floral depth)	3574	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower inclination	3583	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower nectar tube depth	3579	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower nectar tube width	3580	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower petal length	3576	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower petal width	3575	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower size	3568	0	14	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower stamen / filament position relative to flower surface	3582	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower stamen length	3578	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower stylus length	3577	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower stylus position relative to flower surface	3581	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Inflorescence: number of flowers per inflorescence	2947	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf angle (inclination, orientation)	3	0	7	0	0	0	0	28	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	
Leaf length	144	0	7	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf lobation	3584	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf thickness	46	0	7	0	0	0	18	47	0	0	0	0	0	26	0	0	0	0	0	0	0	0	10	
Leaf width	145	0	7	0	0	2	3	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: number of inflorescences per plant	1031	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Plant defence mechanisms: chemical	346	0	1	0	0	0	1	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	
Plant number of leaves	437	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bark secondary compounds: oil, tannins, latex, slime	835	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Fine root diameter	896	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
Fine root length per fine root dry mass (specific fine root length, SRL)	614	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	0	0	0	0	0	9	5	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	
Leaf calcium (Ca) content per leaf dry mass	252	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf carbon isotope signature (delta 13C)	89	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Leaf carotenoid content per leaf dry mass	809	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf chlorophyll content per leaf area	413	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf chlorophyll content per leaf dry mass	164	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf chlorophyll content per leaf dry mass (Chl a)	3474	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf chlorophyll content per leaf dry mass (Chl b)	3475	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf density (leaf tissue density, leaf dry mass per leaf volume)	48	0	0	0	0	0	18	16	0	0	0	0	0	23	0	0	0	0	0	0	0	0	10	
Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)	677	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf equivalent water thickness (EWT)	3767	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf inrolling of lamina	62	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Leaf isoprene emission category	937	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf isoprene emission rate per leaf area	938	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Leaf isoprene emission rate per leaf dry mass	939	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf lifespan (longevity)	12	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Leaf magnesium (Mg) content per leaf dry mass	257	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf mid vein thickness	104	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf nitrogen (N) isotope signature (delta 15N)	78	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Leaf perimeter	142	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
Leaf phosphorus (P) content per leaf area	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf potassium (K) content per leaf area	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf potassium (K) content per leaf dry mass	44	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf volatile organic carbon (VOC): other than monoterpenes emission	2815	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf water & osmotic potential: soil volumetric water content at leaf turgor loss point	3089	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf water & osmotic potential: soil water potential at leaf turgor loss point	3088	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Litter phosphorus (P) content per litter dry mass	71	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Photosynthesis net assimilation rate per leaf area (NAR)	784	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Photosynthesis rate per leaf area	53	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Photosynthesis rate per stomatal conductance	3128	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Fine root dry mass per plant	473	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Fine root length per plant	2026	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Leaf dry mass per plant	129	0	0	0	0	0	3	33	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)	110	0	0	0	0	0	3	37	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Leaves per plant (emergent, mature, senescent)	1032	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Plant dry mass	700	0	0	0	0	0	3	28	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Reproductive dry mass per plant	130	0	0	0	0	0	0	6	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Root dry mass per plant	363	0	0	0	0	0	3	28	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass)	470	0	0	0	0	0	3	27	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Stem dry mass per plant	128	0	0	0	0	0	3	40	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Stem dry mass per plant dry mass	136	0	0	0	0	0	3	27	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Wood dry mass per plant dry mass	478	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
Plant mono/poly carpic	1029	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
Plant morphological adaptations: root metamorphoses	814	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Plant time until death	3090	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Plant vegetative phenology (leaf phenology)	1251	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Plant vegetative reproduction: distance between ramets	149	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Plant vital attributes of persistence and establishment	320	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Root length per root dry mass (specific root length, SRL)	1080	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Root nitrogen (N) content per root dry mass	80	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Root/shoot ratio	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Seed germination type	1102	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
Seed persistence	4082	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Seed shape	349	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Shoot iron (Fe) content per shoot dry mass	705	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Shoot manganese (Mn) content per shoot dry mass	703	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Species habitat characterization: aridity index	3094	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Species habitat characterization: habitat	3095	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
Species habitat characterization: potential evapotranspiration	3093	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Species habitat characterization: precipitation	3092	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Species habitat characterization: soil hydrology	3091	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Species range: Highland or lowland vicariant of a genus	2816	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
Species soil moisture requirements	1144	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	
Stem diameter	21	0	0	0	0	0	0	7	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	
Stomata conductance per leaf area	45	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Stomata conductance per leaf area at turgor loss point	3087	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Stomata cross-sectional area	68	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Stomata distribution to ab- and adaxial leaf surfaces	781	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Twig diameter	1200	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
Twig dry mass	1201	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
Twig length	1202	0	0	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
Twig number of leaves per twig	1203	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
Wood vessel: dark staining substances in vessels and/or fibers (gum, tannins)	1246	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Bark surface structure, texture, age	838	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf length excluding petiole (leaf lamina length)	940	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf margin type	963	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Plant human usage types	604	0	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood vessel helical thickenings	280	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fine root (absorptive) carbon (C) content not hydrolyzable in acid extractives per absorptive fine r	2134	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fine root (absorptive) carbon (C) content per absorptive fine root dry mass	2039	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fine root (absorptive) debris decomposition rate constant	2287	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fine root (absorptive) dry mass per absorptive fine root fresh mass (absorptive fine root dry matter	2050	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root lengt	2062	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass	2035	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fine root (absorptive) tissue density (absorptive fine root dry mass per absorptive fine root volume	2037	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf nitrogen/phosphorus (N/P) ratio	56	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Species tolerance to drought	30	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Species tolerance to waterlogging	61	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf heterophylly	936	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	
Flower number of pollen per ovule	210	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf area per plant	410	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf epidermis thickness	101	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf mesophyll thickness	103	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf mid vein support tissue thickness	105	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf structural dry matter per leaf dry mass	118	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf structural dry matter per leaf volume	115	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Photosynthesis rate per leaf dry mass	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Plant dry mass per plant fresh mass	119	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Plant dry mass per plant volume	117	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Shoot nitrogen (N) content per plant	408	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root diameter	83	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root dry mass per root fresh mass (root dry matter content; RDMC)	785	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root dry mass per root volume (root density, root tissue density)	116	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root length fraction in respective root diameter class (e.g. fine root length per total root length;	1489	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root root hair length	1075	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root surface area per root dry mass (specific root area)	1089	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root tissue density (root dry mass per root volume)	82	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root volume per root dry mass 	1091	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Seed / ovule ratio	3482	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Shoot carbon/nitrogen (C/N) ratio	409	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Shoot necromass	404	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Species genotype: chromosome number gametophytic	3097	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Species tolerance to heavy metals	1038	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Species tolerance to salt	1254	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stem carbon (C) content per stem dry mass	407	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stem carbon/nitrogen (C/N) ratio	165	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stem dry mass per stem fresh mass (stem dry matter content, StDMC)	1181	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stem length	326	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stem nitrogen (N) content per stem dry mass	406	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood crystal types	304	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood fiber-band types	1219	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood storied tissue types	1235	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flower corolla type	2936	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Flower symmetry type (flower shape)	2935	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Fruit dehiscence type	2940	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Fruit pericarp type	2939	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Fruit surface type	2941	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Inflorescence type	2934	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Leaf venation type	2813	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
